,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
29,5930,0,,8500,5,5,12612,0,28.526657,,Sector-108 Noida,77.37371,Laureate Buildwell Private Limited,19-Oct-20,50405000,Parx Laureate,Sector 110,4,1.666666667,3.533333333
30,3740,1-Apr-21,,15935,,4,348391,0,28.657834,,Karol Bagh,77.194715,Unity Group,15-Oct-20,59600000,Unity The Amaryllis,Karol Bagh,4.97,2.444444444,4.188888889
31,1252,1-Apr-21,,14776,2,2,348391,0,28.657834,,Karol Bagh,77.194715,Unity Group,15-Oct-20,18500000,Unity The Amaryllis,Karol Bagh,4.97,2.444444444,4.188888889
32,1675,1-Mar-26,3,4600,4,3,892845,1,28.416661,1,Sector-150 Noida,77.4847794,Star Estate,7-Nov-20,7705000,ATS Pious Hideaways,Sector 132,4.23,1.888888889,3.644444444
33,1447,1-Jul-24,,26243,3,3,1048929,1,28.468205,1,Sushant Lok Phase - 1,77.078906,Elite Landbase Pvt Ltd,27-Oct-20,20981500,Silverglades Hightown Residences,DLF Phase 4,5,2.888888889,4.377777778
34,1478,1-Mar-22,,5450,2,2,896232,0,28.449663,,Sector-68 Gurgaon,77.041433,Realtime Realtors,19-Oct-20,8055100,M3M Natura,Sector 31,5,2.444444444,4.266666667
35,1980,1-Jul-24,,22475,4,4,1048929,1,28.468205,1,Sushant Lok Phase - 1,77.078906,Thakur Estate,6-Nov-20,28710000,Silverglades Hightown Residences,DLF Phase 4,5,2.888888889,4.377777778
36,1447,1-Jul-24,,24268,3,3,1048929,1,28.468205,1,Sushant Lok Phase - 1,77.078906,Thakur Estate,6-Nov-20,20981500,Silverglades Hightown Residences,DLF Phase 4,5,2.888888889,4.377777778
37,3220,1-Jun-22,6,7018,5,4,205351,1,28.432936,1,Sector-150 Noida,77.483256,ACE Infracity Developers Pvt. Ltd.,29-Oct-20,19642000,ACE Parkway,Sector 132,4.23,1.888888889,3.644444444
38,2831,0,,8535,4,4,12704,0,28.3883178,,Sector-81 Gurgaon,76.9498732,Elite Landbase Pvt Ltd,28-Oct-20,21515600,DLF The Ultima,Sector 83,4.65,2.111111111,3.888888889
39,1275,0,,4705,,3,1045945,0,28.405594,,Sector 85 Faridabad,77.358875,RAJ PROPERTIES,22-Aug-20,6000000,Raj Samridhi Homes,Sector 86,4.43,1.666666667,3.855555556
40,1631.07,0,4,10275,5,4,11928,1,28.511146,1,Sector-108 Gurgaon,76.985175,Experion Developers Pvt. Ltd.,4-Sep-20,16999913,Experion The Heartsong,New Palam Vihar,3.06,1.333333333,3.688888889
41,1980,1-Jul-24,,24848,4,4,1048929,1,28.468205,1,Sushant Lok Phase - 1,77.078906,Elite Landbase Pvt Ltd,27-Oct-20,28710000,Silverglades Hightown Residences,DLF Phase 4,5,2.888888889,4.377777778
42,2103,0,,8036,3,3,12704,0,28.3883178,,Sector-81 Gurgaon,76.9498732,Elite Landbase Pvt Ltd,28-Oct-20,16899708,DLF The Ultima,Sector 83,4.65,2.111111111,3.888888889
43,2441,0,,8644,2,2,9772,1,28.518677,1,Sector-112 Gurgaon,77.015115,Experion Developers Pvt. Ltd.,4-Sep-20,21100004,Experion Windchants,New Palam Vihar,3.06,1.333333333,3.688888889
44,3763,0,2,8644,5,3,9772,1,28.518677,1,Sector-112 Gurgaon,77.015115,Experion Developers Pvt. Ltd.,4-Sep-20,32527372,Experion Windchants,New Palam Vihar,3.06,1.333333333,3.688888889
45,2955,1-Jan-23,5,0,5,4,94856,1,28.3998268,1,Sector-65 Gurgaon,77.0610017,M3M India Pvt. Ltd,27-Oct-20,26571360,M3M Latitude,Sohna Road,4.96,2.444444444,4.277777778
46,4857,0,4,8644,6,4,9772,1,28.518677,1,Sector-112 Gurgaon,77.015115,Experion Developers Pvt. Ltd.,4-Sep-20,41983908,Experion Windchants,New Palam Vihar,3.06,1.333333333,3.688888889
47,2126,1-Dec-23,4,16951,6,4,758195,1,28.5205,1,Sector-128 Noida,77.359618,Parx Buildwell,11-Sep-20,36800000,Kalpataru Vista,Sector 127,4,1.888888889,3.777777778
48,2430,1-Jan-23,4,0,4,3,94856,1,28.3998268,1,Sector-65 Gurgaon,77.0610017,M3M India Pvt. Ltd,27-Oct-20,21850560,M3M Latitude,Sohna Road,4.96,2.444444444,4.277777778
49,1302.01,0,5,10964,4,3,11928,1,28.511146,1,Sector-108 Gurgaon,76.985175,Experion Developers Pvt. Ltd.,4-Sep-20,14500374,Experion The Heartsong,New Palam Vihar,3.06,1.333333333,3.688888889
50,2890,0,6,6600,5,4,34046,1,28.564338,1,Sector-79 Noida,77.397114,Civitech Developers,5-Nov-20,18972850,Civitech Stadia,Sector 72,4.93,1.777777778,4
51,3115,0,3,9200,5,4,8558,1,28.533221,1,Sector-104 Noida,77.376639,Parx Buildwell,26-Sep-20,23051000,ATS One Hamlet,Sector 110,4,1.666666667,3.533333333
52,1630,1-Dec-23,4,16707,5,3,758195,1,28.5205,1,Sector-128 Noida,77.359618,Parx Buildwell,11-Sep-20,27200000,Kalpataru Vista,Sector 127,4,1.888888889,3.777777778
53,1535,1-Nov-22,,2850,2,3,129829,0,28.652151,,NH-24 Highway,77.475923,SMC Real Estate Advisors Pvt. Ltd.,4-Nov-20,4374750,Divyansh Onyx,Kavi Nagar,4.68,2,4.111111111
54,1190,1-Nov-22,,2850,2,2,129829,0,28.652151,,NH-24 Highway,77.475923,SMC Real Estate Advisors Pvt. Ltd.,4-Nov-20,3391500,Divyansh Onyx,Kavi Nagar,4.68,2,4.111111111
55,8515,0,7,8643,7,5,9772,1,28.518677,1,Sector-112 Gurgaon,77.015115,Experion Developers Pvt. Ltd.,4-Sep-20,73603646,Experion Windchants,New Palam Vihar,3.06,1.333333333,3.688888889
56,2100,1-Jul-24,,11000,3,3,502709,0,28.449259,,Sector-65 Gurgaon,76.993016,Investor Avenue,6-Nov-20,19950000,M3M Heights,Sector 37,4.59,1.555555556,3.977777778
57,1450,1-Jun-24,3,11000,2,2,502709,1,28.449259,1,Sector-65 Gurgaon,76.993016,Investor Avenue,6-Nov-20,11600000,M3M Heights,Sector 37,4.59,1.555555556,3.977777778
58,2100,1-Jun-24,,11000,3,3,502709,0,28.449259,,Sector-65 Gurgaon,76.993016,Investor Avenue,6-Nov-20,16800000,M3M Heights,Sector 37,4.59,1.555555556,3.977777778
59,2460,1-Jun-22,5,6576,4,3,205351,1,28.432936,1,Sector-150 Noida,77.483256,ACE Infracity Developers Pvt. Ltd.,29-Oct-20,14757540,ACE Parkway,Sector 132,4.23,1.888888889,3.644444444
60,1304,1-Dec-21,2,0,2,2,108571,1,28.377498,1,Sector-68 Gurgaon,77.042358,M3M India Pvt. Ltd,27-Oct-20,7172000,M3M The Marina,Sohna Road,4.96,2.444444444,4.277777778
61,1304,1-Dec-20,,0,,2,1027518,0,28.377472,,Sector-68 Gurgaon,77.042342,M3M India Pvt. Ltd,27-Oct-20,6869472,M3M Ikonic,Sohna Road,4.96,2.444444444,4.277777778
62,1914,1-Dec-21,3,0,3,3,108571,1,28.377498,1,Sector-68 Gurgaon,77.042358,M3M India Pvt. Ltd,27-Oct-20,10527000,M3M The Marina,Sohna Road,4.96,2.444444444,4.277777778
63,1914,1-Dec-20,,0,3,3,1027518,0,28.377472,,Sector-68 Gurgaon,77.042342,M3M India Pvt. Ltd,27-Oct-20,9989166,M3M Ikonic,Sohna Road,4.96,2.444444444,4.277777778
64,1345.6,1-Dec-22,,6400,2,2,1045268,0,28.416992,,Sector-74 Gurgaon,77.010754,Aryan Realty Infratech,8-Nov-20,8614400,M3M Skywalk,Sohna Road,4.59,1.555555556,3.977777778
65,2430,1-Jan-23,4,9000,4,3,94856,1,28.3998268,1,Sector-65 Gurgaon,77.0610017,Aryan Realty Infratech,8-Nov-20,21850560,M3M Latitude,Sohna Road,4.96,2.444444444,4.277777778
66,2955,1-Jan-23,5,9000,5,4,94856,1,28.3998268,1,Sector-65 Gurgaon,77.0610017,Aryan Realty Infratech,8-Nov-20,26571360,M3M Latitude,Sohna Road,4.96,2.444444444,4.277777778
67,721.19,0,3,10951,3,2,11928,1,28.511146,1,Sector-108 Gurgaon,76.985175,Experion Developers Pvt. Ltd.,4-Sep-20,7897834,Experion The Heartsong,New Palam Vihar,3.06,1.333333333,3.688888889
68,1675,1-Mar-26,3,6000,4,3,892845,1,28.416661,1,Sector-150 Noida,77.4847794,Invest Mango,4-Nov-20,7705000,ATS Pious Hideaways,Sector 132,4.23,1.888888889,3.644444444
69,1753,0,,11346,,3,19160,0,28.666421,,Moti Nagar,77.151852,APC Consultancy,6-Nov-20,19283000,DLF Capital Greens,Karampura,5,2.666666667,4.111111111
70,3395,1-Dec-24,,10500,4,4,1001692,0,28.409433,,Sector-59 Gurgaon,77.105276,Bharat & Co.,24-Oct-20,35000000,Conscient Elevate,Sector 59,4.94,2.333333333,4.1
71,1447,1-Jul-24,,27782,3,3,1048929,1,28.468205,1,Sushant Lok Phase - 1,77.078906,Bharat & Co.,22-Oct-20,20981500,Silverglades Hightown Residences,DLF Phase 4,5,2.888888889,4.377777778
72,1280,1-May-24,3,8000,2,2,894866,1,28.408444,1,Sector-65 Gurgaon,77.068573,Property Station,23-Oct-20,9671680,M3M Sky City,Sohna Road,4.96,2.444444444,4.277777778
73,2385,0,6,6896,5,4,379873,1,28.641766,1,Sector-1 Vaishali ,77.334579,Rishabh Group,2-Nov-20,16446960,Rishabh Cloud 9 Towers,Vaishali,4.71,2,3.877777778
74,7966,1-Mar-22,7,8899,7,4,52988,1,28.504246,1,Sector-22 Gurgaon,77.068649,Aryan Realty Infratech,6-Nov-20,60000000,Ambience Creacions,Sector 22,4.83,2.777777778,4.311111111
75,4583,1-Mar-22,4,8899,5,3,52988,1,28.504246,1,Sector-22 Gurgaon,77.068649,Aryan Realty Infratech,6-Nov-20,40408311,Ambience Creacions,Sector 22,4.83,2.777777778,4.311111111
76,9838,1-Mar-22,8,8899,8,5,52988,1,28.504246,1,Sector-22 Gurgaon,77.068649,Aryan Realty Infratech,6-Nov-20,87499172,Ambience Creacions,Sector 22,4.83,2.777777778,4.311111111
77,1675,0,4,6000,2,3,40642,1,28.438547,1,Sector-150 Noida,77.482162,Happy Homes Realtors And Builders,29-Oct-20,10050000,ACE Golfshire,Sector 132,4.23,1.888888889,3.644444444
78,6221,0,3,17081,7,5,15852,1,28.444951,1,Sector-54 Gurgaon,77.111544,Luxury Habitat,31-Oct-20,99536000,DLF The Crest,Golf Course Road,4.66,2.666666667,4.033333333
79,3518,0,3,16739,5,3,15852,1,28.444951,1,Sector-54 Gurgaon,77.111544,Luxury Habitat,31-Oct-20,56288000,DLF The Crest,Golf Course Road,4.66,2.666666667,4.033333333
80,4022,0,,18256,,4,15852,0,28.444951,,Sector-54 Gurgaon,77.111544,Luxury Habitat,31-Oct-20,68374000,DLF The Crest,Golf Course Road,4.66,2.666666667,4.033333333
81,1433,1-Jun-24,3,11000,2,2,502709,1,28.449259,1,Sector-65 Gurgaon,76.993016,Elite Landbase Pvt Ltd,28-Oct-20,11464000,M3M Heights,Sector 37,4.59,1.555555556,3.977777778
82,2040,1-Jun-24,,11000,3,3,502709,0,28.449259,,Sector-65 Gurgaon,76.993016,Elite Landbase Pvt Ltd,28-Oct-20,16320000,M3M Heights,Sector 37,4.59,1.555555556,3.977777778
83,1089.56,1-Oct-22,3,2779,2,3,554061,1,28.719804,,Raj Nagar Extension,77.453314,Mehak Infrastructure Pvt. Ltd,13-Oct-20,3028000,Mehak Jeevan,Raj Nagar,4.23,2,3.866666667
