,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
1385,828,0,1,25966,2,2,21164,,19.121912,,Andheri (East),72.867433,Mac estate consultant,1-Nov-20,21500000,Lodha Eternis,,,,
1386,1148,0,0,23606,2,2,489555,,19.109498,,Chakala,72.857326,Mumbai Spaces,10-Nov-20,25000000,Greenwoods Housing Society,,,,
1387,575,0,1,16174,2,1,272819,,19.2564223,,Dahisar (West),72.853419,Hilton Realtors,30-Oct-20,9300000,New Heritage Chs,,,,
1388,638,0,0,20690,1,1,79854,,19.195106,,Kandivali (West),72.847748,,28-Aug-20,13200000,Krishna Apartment,,,,
1389,479.316467,0,,19505,1,1,4590,0,19.262051,,Dahisar (East),72.874692,We3 Homes,29-Oct-20,9346248,DB Ozone,,,,
1390,795,0,,4025,,2,14650,0,19.286854,,Bhiwandi,73.080446,Home Solution Properties,24-Oct-20,3200000,Sai Atlanta Eden World,,,,
1391,780,0,2,5832,2,1,37472,,19.168341,,Dombivli (East),73.073962,Global Homes Realty,11-Nov-20,4549000,Lodha Palava City,,,,
1392,1054.8622,1-Dec-21,,16576,,3,373294,1,19.223389,1,Balkum,72.989916,Shankar Iyer,13-Nov-20,18000000,Piramal Vaikunth,,,,
1393,318,1-Dec-21,,15408,,1,373294,0,19.223389,,Balkum,72.989916,Shankar Iyer,13-Nov-20,4700000,Piramal Vaikunth,,,,
1394,551.326958,1-Dec-21,,15780,,2,373294,0,19.223389,,Balkum,72.989916,Shankar Iyer,13-Nov-20,8700000,Piramal Vaikunth,,,,
1395,994,1-Dec-21,0,17588,2,2,529501,,19.0572,,Chembur,72.904752,Welcome Property Management Services,15-Nov-20,17500000,Poddar Spraha Diamond,,,,
1396,3300,0,2,30303,5,5,23646,,19.052039,,Chembur (East),72.899098,Welcome Property Management Services,15-Nov-20,100000000,Swastik Solitaire,,,,
1397,985,0,0,29949,3,3,823,,19.050821,,Chembur (East),72.888404,Welcome Property Management Services,6-Nov-20,29500000,Sindhi Society,,,,
1398,775,2-May-21,0,31225,2,2,823,,19.050821,,Chembur (East),72.888404,Welcome Property Management Services,6-Nov-20,24200000,Sindhi Society,,,,
1399,540,0,0,25000,1,2,142431,,19.032692,,Chembur,72.900403,Welcome Property Management Services,1-Nov-20,13500000,Shree Navbharat Apartment Chs,,,,
1400,1250,0,2,25600,2,2,20694,,19.0022864,,Parmanand Wadi,72.846636,Shashwat Properties & Real Estate,13-Nov-20,32000000,Omkar Veda Exclusive,,,,
1401,678,0,0,25811,2,2,16164,,19.114265,,Marol,72.883513,Lotus Realtors,5-Nov-20,17500000,Sheth Vasant Oasis,Marol,5,2.888888889,4.233333333
1402,561.229746,0,,22985,1,1,528063,0,19.0668744,,Tilak Nagar,72.8936053,S.K Realty,12-Nov-20,12900000,Shreenathji 39 Anthea,,,,
1403,479,1-Jun-21,,21085,,1,763783,0,19.068518,,Tilak Nagar,72.896007,S.K Realty,12-Nov-20,10059000,Varad Heights,,,,
1404,917.9992115,1-Jun-27,,26360,3,3,1033810,1,19.211056,,Kandivali (East),72.869411,Brij Realty,6-Nov-20,23099585,Wadhwa TW Gardens,,,,
1405,680.0040006,1-Jun-27,,26913,2,2,1033810,1,19.211056,,Kandivali (East),72.869411,Brij Realty,6-Nov-20,16800000,Wadhwa TW Gardens,,,,
1406,1657,1-Jun-23,,44055,4,4,527061,0,19.059498,,Bandra (East),72.851816,Real NRI Service,5-Nov-20,73000000,Kalpataru Magnus,Bandra East,4.9,3.222222222,4.244444444
1407,1074,1-Jun-23,,49534,3,3,527061,0,19.059498,,Bandra (East),72.851816,Real NRI Service,5-Nov-20,53200000,Kalpataru Magnus,Bandra East,4.9,3.222222222,4.244444444
1408,781,1-Jun-23,,42509,,2,527061,0,19.059498,,Bandra (East),72.851816,Real NRI Service,5-Nov-20,33199529,Kalpataru Magnus,Bandra East,4.9,3.222222222,4.244444444
1409,1810,0,1,10979,3,3,235509,1,19.118639,1,Ghansoli,72.992382,shivansh enterprises,5-Nov-20,19745290,RNA NG Grand Plaza,,,,
1410,1810,0,1,10979,3,3,235509,1,19.118639,1,Ghansoli,72.992382,shivansh enterprises,5-Nov-20,19800000,RNA NG Grand Plaza,,,,
1411,1299,0,1,10777,2,2,235509,1,19.118639,1,Ghansoli,72.992382,shivansh enterprises,5-Nov-20,14000000,RNA NG Grand Plaza,,,,
1412,432.385863,0,,10869,1,1,13208,1,18.952332,1,Panvel,73.148732,Jai Mata Di Enterprises,5-Nov-20,4695408,Indiabulls Greens,,,,
1413,1719.42,0,,9147,3,3,13208,1,18.952332,1,Panvel,73.148732,Jai Mata Di Enterprises,5-Nov-20,15694470,Indiabulls Greens,,,,
1414,891,0,,9437,,2,13208,0,18.952332,,Panvel,73.148732,Jai Mata Di Enterprises,5-Nov-20,6500000,Indiabulls Greens,,,,
1415,476.302575,0,,12718,1,1,6898,0,19.001781,,New Panvel,73.133907,Jai Mata Di Enterprises,5-Nov-20,6059480,Balaji Symphony,,,,
1416,936,0,,16118,3,3,6898,1,19.001781,1,New Panvel,73.133907,Jai Mata Di Enterprises,5-Nov-20,15087384,Balaji Symphony,,,,
1417,849,0,,14544,2,2,6898,1,19.001781,1,New Panvel,73.133907,Jai Mata Di Enterprises,5-Nov-20,12299463,Balaji Symphony,,,,
1418,1911,1-Mar-22,,15055,4,4,107685,0,18.96791,,Panvel,73.126526,Jai Mata Di Enterprises,5-Nov-20,28770105,Paradise Sai World City,,,,
1419,1819,1-Mar-22,,12342,3,3,107685,1,18.96791,1,Panvel,73.126526,Jai Mata Di Enterprises,5-Nov-20,22299121,Paradise Sai World City,,,,
1420,911,1-Mar-22,,11220,2,2,107685,0,18.96791,,Panvel,73.126526,Jai Mata Di Enterprises,5-Nov-20,9899837,Paradise Sai World City,,,,
1421,736,0,,10000,,2,206113,0,19.162954,,Dombivli (East),73.083056,Jai Mata Di Enterprises,5-Nov-20,5199840,Lodha Palava Downtown,,,,
1422,903,0,,10000,,3,206113,0,19.162954,,Dombivli (East),73.083056,Jai Mata Di Enterprises,5-Nov-20,8750973,Lodha Palava Downtown,,,,
1423,549,0,,10256,,1,206113,0,19.162954,,Dombivli (East),73.083056,Jai Mata Di Enterprises,5-Nov-20,5630544,Lodha Palava Downtown,,,,
1424,955,1-Dec-20,,15706,3,3,289759,0,19.233686,,Kolshet Road,72.988423,QUANTUM REALTY,3-Nov-20,15000000,Lodha Amara,,,,
1425,438,1-Dec-20,,15296,,1,289759,0,19.233686,,Kolshet Road,72.988423,QUANTUM REALTY,3-Nov-20,6700000,Lodha Amara,,,,
1426,535,0,,24299,2,2,292449,0,19.243773,,Hiranandani Estate,72.977418,QUANTUM REALTY,3-Nov-20,11500000,One Hiranandani Park,,,,
1427,1180,0,,21186,,3,292449,0,19.243773,,Hiranandani Estate,72.977418,QUANTUM REALTY,3-Nov-20,25000000,One Hiranandani Park,,,,
1428,888,0,,11824,3,3,34960,1,18.965842,1,New Panvel,73.126869,L R Homes,28-Oct-20,10500000,Marathon Nexzone,,,,
1429,559,0,,22361,,2,292449,0,19.243773,,Hiranandani Estate,72.977418,Royalti Real Estate Pvt Ltd.,27-Oct-20,11600000,One Hiranandani Park,,,,
1430,2250,0,,27607,,4,292449,0,19.243773,,Hiranandani Estate,72.977418,Royalti Real Estate Pvt Ltd.,27-Oct-20,51072750,One Hiranandani Park,,,,
1431,1380,0,,22034,,3,292449,0,19.243773,,Hiranandani Estate,72.977418,Royalti Real Estate Pvt Ltd.,27-Oct-20,30406920,One Hiranandani Park,,,,
1432,432.385863,0,,10869,1,1,13208,1,18.952332,1,Panvel,73.148732,L R Homes,27-Oct-20,4695408,Indiabulls Greens,,,,
1433,1719.42,0,,9147,3,3,13208,1,18.952332,1,Panvel,73.148732,L R Homes,27-Oct-20,15694470,Indiabulls Greens,,,,
1434,891,0,,9437,,2,13208,0,18.952332,,Panvel,73.148732,L R Homes,27-Oct-20,6500000,Indiabulls Greens,,,,
